gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Biomass,Surocciden,Biomass,2024,2.6395251130668033e-07,0.0,0.0,7.645556919299737e-10,0.00022074720567582802,0.00011098290424055498,1.25677951792985,39.410556399882694,0.0,0.0
Biomass,Surocciden,Biomass,2025,2.3692892086627462e-07,0.0,0.0,3.336871130484357e-08,0.00907939080149366,0.0045647431651201645,57.58745667994971,0.8105401559292668,0.0,0.0
Biomass,Surocciden,Biomass,2026,1.0257406644425445e-07,0.0,0.0,5.530495167251424e-08,0.0146893264888481,0.007385195270393422,215.20568038743286,0.21172368768877423,0.0,0.0
Biomass,Surocciden,Biomass,2027,1.661132464296942e-07,0.0,0.0,9.92106849649867e-08,0.02525758128791218,0.012698491490515268,228.49515974327784,0.191135656112168,0.0,0.0
Biomass,Surocciden,Biomass,2028,1.931324790156586e-07,0.0,0.0,1.391295653644267e-07,0.034277458989831006,0.01723331622277205,266.7121318751711,0.1584644255006077,0.0,0.0
Biomass,Surocciden,Biomass,2029,1.9892315473928037e-07,0.0,0.0,1.7737250054267505e-07,0.0423760004279641,0.021304926802394618,320.1282792534758,0.12802504682324745,0.0,0.0
Biomass,Surocciden,Biomass,2030,5.139736000299661e-07,0.0,0.0,2.537775400144913e-07,0.057561912814803454,0.028939776776655327,168.29986907190462,0.23119770720528807,0.0,0.0
Biomass,Surocciden,Biomass,2031,488.73625425050886,0.0,0.0,55.79181010595739,10396038.142036319,5226688.359511689,31.96555681244869,0.9999999953396582,0.0,0.0
Biomass,Surocciden,Biomass,2032,833.5578825981383,0.0,0.0,95.15500974354626,17261838.50117452,8678526.062131133,31.120051894238532,0.9999999966944982,0.0,0.0
Biomass,Surocciden,Biomass,2033,833.5578824584868,0.0,0.0,95.15500974551883,17261838.501495443,8678526.062292479,31.120051900030848,0.9999999965062315,0.0,0.0
Biomass,Surocciden,Biomass,2034,875.9999996247266,0.0,0.0,100.00000041214055,17992793.40094637,9046018.604355738,30.86622376356779,0.9999999954502,0.0,0.0
Biomass,Surocciden,Biomass,2035,876.0000005469595,0.0,0.0,100.00000045011363,17992793.406285364,9046018.607039979,30.866223740231465,0.9999999961232466,0.0,0.0
Eolica,Caribe,Wind,2023,214.27884568402177,0.0,0.0,32.0,5395834.247909282,882240.0,29.29861894611383,0.7644079826056711,0.0,0.0
Eolica,Caribe,Wind,2024,7717.8729926830465,0.0,0.0,1159.0756777887568,212402201.5751758,33376958.866327647,31.84545284361574,0.7601192455691478,0.0,0.0
Eolica,Caribe,Wind,2025,7717.8729924143645,0.0,0.0,1159.0756777891388,212402201.57524395,33376958.866338346,31.845452844734595,0.7601192455424352,0.0,0.0
Eolica,Caribe,Wind,2026,7717.872991618516,0.0,0.0,1159.0756777893398,212402201.5752788,33376958.866343815,31.84545284802364,0.7601192454639217,0.0,0.0
Eolica,Caribe,Wind,2027,9415.55536079981,0.0,0.0,1414.0756777896063,251830302.86507592,40407308.86635087,31.037745574532153,0.7600972873880467,0.0,0.0
Eolica,Caribe,Wind,2028,12346.556957503703,0.0,0.0,1864.0756777898819,321409305.1411544,52813808.86635797,30.30991678858905,0.7560982244499771,0.0,0.0
Eolica,Caribe,Wind,2029,15652.499547327083,0.0,0.0,2356.0756777902543,397482347.629677,66378248.86636731,29.634921572334814,0.7583860882151291,0.0,0.0
Eolica,Caribe,Wind,2030,15652.499547364194,0.0,0.0,2356.0756777917422,397482347.62990874,66378248.866403684,29.634921572281687,0.7583860882164482,0.0,0.0
Eolica,Caribe,Wind,2031,15987.242708457721,0.0,0.0,2406.35569930448,405110100.6662232,67575617.29870802,29.566431597042474,0.758419757715969,0.0,0.0
Eolica,Caribe,Wind,2032,18831.817548806826,0.0,0.0,2833.624426017096,468345780.2891042,77501924.3576955,28.98539682811362,0.7586576548387534,0.0,0.0
Eolica,Caribe,Wind,2033,22013.192427868133,0.0,0.0,3311.4821270513853,537334825.187865,88331613.4362356,28.422339952474285,0.7588509959038091,0.0,0.0
Eolica,Caribe,Wind,2034,22797.830831890264,0.0,0.0,3429.3385631722226,553947166.5425136,90939304.94184525,28.287185576544985,0.7588903971294372,0.0,0.0
